name,address,city,telephone1,url,fax,telephone2
Citygate Meats & Meals,1019 Main St, Vancouver,604 569-3939,nil,nil,nil,
Caffe Cittadella,2310 Ash St, Vancouver,604 568-5909,nil,nil,nil,
Caffe Vibrato,1-228 Schoolhouse, Coquitlam,604 528-9109,nil,nil,nil,
Calabash Bistro,428 Carrall St, Vancouver,604 568-5882,nil,nil,nil,
California Cafe Restaurant,322-5300 No. 3 Rd, Richmond,604 279-9000,nil,nil,nil,
Caffe Barney,2975 Granville St, Vancouver,604 731-6446,nil,nil,nil,
Charm Modern Thai Restaurant,1269 Hamilton St, Vancouver,604 688-9339,nil,604 688-9390,nil,
Chart House Grill,15047 Marine White Rock, Vancouver,604 535-5938,nil,nil,nil,
Charthouse Restaurant,200-3866 Bayview, Richmond,604 271-7001,nil,nil,nil,
Choo-Choo's Restaurant,20559 Fraser Hwy, Langley,604 534-7111,nil,nil,nil,
Choon Ha Choo Dong Korean Japanese Restaurant,36 E Broadway, Vancouver,604 874-4131,nil,604 874-4133,nil,
Clancy's Tea Cosy,6-15223 Pacific Ave, White Rock,604 541-9010,nil,nil,nil,
Classic Pizza,589 W Pender, Vancouver,604 687-0442,nil,nil,nil,
Classic Pizza,434 W Hastings, Vancouver,604 687-2384,nil,nil,nil,
Clayoven Restaurant,103-9386 120 St, Surrey,604 589-7622,nil,nil,nil,
Club House Japanese Restaurant,255 W 2nd Ave, Vancouver,604 879-8998,nil,nil,nil,
Co-Co Hut Singapore Restaurant,1118-8328 Capstan Way, Richmond,604 270-3368,nil,nil,nil,
Coast Restaurant,1054 Alberni St, Vancouver,604 685-5010,nil,nil,nil,
Cobre Restaurants,Mn-52 Powell, Vancouver,604 669-2396,nil,604 669-2397,nil,
Crescent Beach Bistro,A-12251 Beecher, Surrey,604 531-1882,nil,nil,nil,
Crispy Poulet Food,A-730 Marine, North Vancouver,778 340-3142,nil,nil,778 340-3143,
Cristos Greek Taverna,4624 Hastings, Burnaby,604 299-0008,nil,nil,nil,
Crossroads Cafe,160-777 Hornby St, Vancouver,604 662-3677,nil,nil,nil,
Dairy Queen Braizier Restaurant,20300 Fraser Hwy, Langley,604 534-6287,nil,nil,nil,
Dairy Queen Central City,2591-10153 King George Blvd, Surrey,604 588-6810,nil,nil,nil,
Dairy Queen Coquitlam Centre,2636-2929 Barnet Hwy, Coquitlam,604 464-5911,nil,nil,nil,
Dairy Queen Fleetwood,9110 152 St, Surrey,604 581-0400,nil,nil,604 581-8115,
Dairy Queen Grill & Chill,5630 152 St, Surrey,604 575-8330,nil,nil,778 574-2548,
De Dutch Restaurant,102-1035 Columbia St, New Westminster,604 521-2288,nil,nil,nil,
De Dutch Restaurant,410 W 2nd Ave, Vancouver,604 569-0477,nil,nil,nil,
Dedutch Restaurant,6651 Hastings, Burnaby,604 298-4400,nil,nil,nil,
Deep Cove Osaka Sushi,4355 Gallant, North Vancouver,604 929-5033,nil,604 929-0768,nil,
Deer Garden Signatures,2015-8580 Alexandra, Richmond,604 278-9229,nil,nil,nil,
Deer Gardem Restaurant,A-3610 Westwood, Port Coquitlam,604 468-7228,nil,nil,nil,
Cru Restaurant,1459 W Broadway, Vancouver,604 677-4111,nil,nil,nil,
Delicias de Alicia Cuban Food,4854 Imperial St, Burnaby,604 569-1575,nil,nil,nil,
Crystal Elephant Range Restaurant,8699 120 St, Delta,604 597-8828,nil,nil,nil,
Dairy Queen Metrotown,1156A 4700 Kingsway, Burnaby,604 437-0090,nil,nil,nil,
Cockney Kings Fish & Chips,130-66 1Oth St, New Westminster,604 522-6099,nil,nil,nil,
Delicious Cuisine,100A-7911 Alderbridge Way, Richmond,604 207-1388,nil,nil,nil,
Coco et Olive Fine Foods,3476 W Broadway, Vancouver,604 736-7080,nil,nil,nil,
Coco Loco Cafe,1735 Marine Dr, West Vancouver,604 913-0226,nil,nil,nil,
Coco Rico Cafe,1290 Robson St, Vancouver,604 687-0424,nil,604 687-0429,nil,
Cucina Manila,5179 Joyce, Vancouver,604 435-4508,nil,nil,nil,
Cucina Toscana Italian Restaurant,8580 Cambie Rd, Richmond,604 276-0576,nil,nil,nil,
Cucumber Cafe,10251 St. Edwards Dr, Richmond,604 276-2853,nil,nil,nil,
The Cup Barista,2105-2850 Shaughnessy, Port Coquitlam,604 945-3388,nil,nil,nil,
Dairy Queen Metrotown,354-4820 Kingsway, Burnaby,604 435-6790,nil,nil,nil,
Dairy Queen on Denman,821 Denman St, Vancouver,604 688-5522,nil,nil,nil,
Dairy  Queen  Park Royal South,5-2002 Park Royal S, West Vancouver,604 922-3387,nil,nil,nil,
Dairy Queen,17720 56 Ave, Surrey,604 576-4811,nil,nil,nil,
Delight Restaurants,15547 Marine Dr, White Rock,778 294-2494,nil,778 294-2449,nil,
Delizie Italiane Bakery & Bistro,22266 Dewdney Trunk, Maple Ridge,604 467-1711,nil,604 467-1719,nil,
Curry Express,1fm-555 W Hastings St, Vancouver,604 608-2421,nil,nil,nil,
Dairy Queen Treat Centre,144A-1199 Lynn Valley, North Vancouver,604 985-8852,nil,nil,nil,
Delta Pollo,27248 Fraser Hwy, Aldergrove,604 857-0556,nil,nil,nil,
The Coffee Mug Restaurant,2426 200th St, Langley,604 534-0103,nil,nil,nil,
Curry Express,352-4820 Kingsway, Burnaby,604 454-1004,nil,nil,nil,
Dairy Queen Vancouver,2109 E Hastings St, Vancouver,604 254-4914,nil,nil,nil,
Delrios Restaurant,1669 128 St, Surrey,604 536-2544,nil,nil,nil,
Coffee Shop,1330 Kingsway, Vancouver,604 874-6969,nil,nil,nil,
Coffee With Attitude,10-15208 Pacific Ave, White Rock,604 538-6600,nil,nil,nil,
Colleen's Cafe,104-26730 56 Ave, Langley,604 856-4948,nil,nil,nil,
Curry Express,1045-5300 No. 3 Rd, Richmond,604 270-0302,nil,nil,nil,
Curry Express,2fc-2002 Park Royal S, West Vancouver,604 922-8779,nil,nil,nil,
Curry Express,F9-650 W 41st Ave, Vancouver,604 264-1440,nil,nil,nil,
Curry Express,1352-2695 Guildford Town Ctr, Surrey,604 584-1006,nil,nil,nil,
Curry Express Cafe,103-18640 Fraser Hwy, Surrey,778 574-8088,nil,nil,nil,
Daisy Sandwiches & Such,1089 Roosevelt Cres, North Vancouver,604 982-0883,nil,nil,nil,
Dakao Restaurant & Cafe,960 Kingsway, Vancouver,604 876-9806,nil,nil,nil,
Deluxe Beach Restaurant,15475 Marine, White Rock,604 542-5042,nil,nil,nil,
Denji Sushi,120-6820 188 St, Surrey,604 574-3031,nil,nil,nil,
Colony Cafe,120-736 Granville St, Vancouver,604 685-8652,nil,nil,nil,
Dakshin Indian Cuisine,101-8077 King George Blvd, Surrey,604 572-8066,nil,nil,nil,
Denny's,5605 Kingsway, Burnaby,604 434-9016,nil,nil,nil,
Colosseum Pizza,107 E 12th, North Vancouver,604 980-2212,nil,nil,nil,
Curry House,1085-3700 No. 3 Rd, Richmond,604 231-9887,nil,nil,nil,
Denny's,500 Austin, Coquitlam,604 939-6545,nil,nil,nil,
Curry King Cafe,5-4250 Kingsway, Burnaby,604 437-3638,nil,nil,nil,
Dalat Vietnamese Restaurant,8671 120 St, Delta,604 597-4062,nil,nil,nil,
Denny's,2050 Marine, North Vancouver,604 980-8210,nil,nil,nil,
Come Along Restaurant,2550 Kingsway, Vancouver,604 439-1318,nil,nil,nil,
The Curry King Enterprises,2136-4500 Kingsway, Burnaby,604 437-6038,nil,nil,nil,
Dallas Pizza,593 E Broadway, Vancouver,604 877-1311,nil,nil,nil,
Denny's,1296 W Broadway, Vancouver,604 731-9033,nil,nil,nil,
Cute Pearl House,2130 W 40th Ave, Vancouver,604 269-9678,nil,nil,nil,
Dallas Pizza,593 E Broadway, Vancouver,604 683-0100,nil,nil,nil,
Denny's,1098 Davie St, Vancouver,604 689-0509,nil,nil,nil,
Commune Cafe,1002 Seymour St, Vancouver,604 681-2551,nil,nil,nil,
Congee Noodle House,141 E Broadway, Vancouver,604 879-8221,nil,nil,nil,
Congee Noodle King,3313 Kingsway, Vancouver,604 435-6670,nil,nil,nil,
Cuulong Restaurant,3911 Knight, Vancouver,604 873-6926,nil,nil,nil,
D & S Bubble Tea Co,509 Dunsmuir St, Vancouver,604 689-8808,nil,nil,nil,
Da Rae Korean Restaurant,3510 Kingsway, Vancouver,604 435-6664,nil,nil,nil,
Dallas Pizza,593 E Broadway, Vancouver,604 877-1311,nil,nil,nil,
Da Mario Restaurant,5601 Hastings, Burnaby,604 294-1121,nil,nil,nil,
Damso Restaurant,867 Denman St, Vancouver,604 632-0022,nil,nil,nil,
Denny's,622 S W Marine Dr, Vancouver,604 325-3712,nil,nil,nil,
Denny's,8487 120 St, Delta,604 590-1717,nil,nil,nil,
Denny's Restaurant,420-2325 Ottawa St, Port Coquitlam,604 552-6185,nil,nil,nil,
Dan Goal House Korean Restaurant,10320 Whalley Blvd, Surrey,604 588-4442,nil,nil,nil,
Dentry's Irish Grill,4450 W 1Oth, Vancouver,604 224-3434,nil,nil,nil,
Connaught Place Restaurant,112-1077 56 St, Delta,604 948-0339,nil,nil,nil,
Connie's Cook House,2135 W 4th Ave, Vancouver,604 738-0980,nil,nil,nil,
Dae Bak Korean Restaurant,1947 4th Ave W, Vancouver,604 568-8259,nil,nil,nil,
Dae Gill Sushi,19973 96 Ave, Langley,604 881-2252,nil,nil,nil,
Dan Japanese Restaurant,2511 W Broadway, Vancouver,604 677-6930,nil,nil,nil,
Dan Sung Sa Korean Restaurant,1221 Thurlow, Vancouver,604 609-7095,nil,nil,nil,
Dan Sung Sa Korean Restaurant,10592 King George Blvd, Surrey,604 581-8808,nil,nil,nil,
Dera Restaurant,664 Broadway E, Vancouver,604 569-0111,nil,nil,nil,
Desert Restaurant,905 Commercial Dr, Vancouver,604 568-0776,nil,nil,nil,
Desi Dosa Madras Restaurant,8859 120 St, Delta,604 591-1591,nil,nil,nil,
Dai Tung Chinese Restaurant,108-1050 Kingsway, Vancouver,604 812-2268,nil,nil,nil,
Desi Downtown,200-911 Denman St, Vancouver,604 647-0911,nil,nil,nil,
Conscious Living Cafe,1025 Commercial Dr, Vancouver,604 707-0088,nil,nil,nil,
Continental Seafood,150-11700 Cambie Rd, Richmond,604 278-6331,nil,nil,nil,
Daihatsu Sushi Japanese Restaurant,1479 Clyde, West Vancouver,604 913-8803,nil,nil,nil,
Daikichi Sushi,1346 Burrard St, Vancouver,604 688-2033,nil,nil,nil,
Danica's Bistro,105-1959 152 St, Surrey,604 541-3342,nil,nil,nil,
Danny's Wun Tun Restaurant,3050-11666 Steveston Hwy, Richmond,604 277-3317,nil,nil,nil,
Desi Junction Bar & Restaurant,8821 120 St, Delta,604 592-6360,nil,nil,nil,
Desi Junction Sweet Factory,12-8430 128 St, Surrey,604 507-4544,nil,nil,nil,
Dan's Kitchen,1022 Deep Cove Rd, North Vancouver,604 929-0300,nil,nil,nil,
Copa Cafe,300-1175 Johnson St, Coquitlam,604 944-8973,nil,nil,nil,
Copper Chimney Restaurant,567 Hornby St, Vancouver,604 689-8862,nil,nil,nil,
Daikichi Sushi,1739 Marine, West Vancouver,604 922-6521,nil,nil,nil,
Daimasu Restaurant Group,106-4680 Kingsway, Burnaby,604 434-5687,nil,604 434-5608,nil,
Danube European Restaurant,102A-3701 Hastings, Burnaby,604 877-1949,nil,nil,nil,
Dex Gourmet Burger Bar,142-123 Carrie Cates Crt, North Vancouver,604 980-6151,nil,nil,nil,
Darband Restaurant,206-3355 North Rd, Burnaby,604 568-6009,nil,nil,nil,
Dhaliwal Banquet Hall,230-8166 128 St, Surrey,604 598-1165,nil,nil,nil,
The Copper Pot,3-530 Hornby St, Vancouver,604 685-5425,nil,nil,nil,
Coppertank Grill,3835 Main St, Vancouver,604 569-2494,nil,nil,nil,
Darby's Pub,2001 MacDonald St, Vancouver,604 731-0617,nil,nil,nil,
Dhaliwal Sweets,6555 Fraser St, Vancouver,604 325-4911,nil,nil,nil,
The Coquitlam Grill,108-2635 Barnet Hwy, Coquitlam,604 942-1337,nil,nil,nil,
Cora Breakfast Lunch,390-3025 Lougheed Hwy, Coquitlam,778 285-8577,nil,nil,nil,
Coral Court Szechuan Cuisine,230 Lonsdale, North Vancouver,604 987-3303,nil,nil,nil,
Dairy Queen,708 6th Ave, New Westminster,604 526-5633,nil,nil,nil,
Dairy Queen,6572 Hastings, Burnaby,604 293-1617,nil,nil,nil,
Darchin Restaurant,801 Pacific St, Vancouver,604 632-1717,nil,nil,nil,
Da Ri Won Restaurant,960 W King Edward Ave, Vancouver,604 731-3274,nil,nil,nil,
Dario's La Piazza,3075 Slocan, Vancouver,604 430-2195,www.lapiazzadario.bc.ca,nil,nil,
Dharma Kitchen,3667 W Broadway, Vancouver,604 738-3899,nil,nil,nil,
Dhoom Restaurant,112-7938 128 St, Surrey,604 543-2222,nil,nil,nil,
Diamond Sweets & Restaurant,160-8047 120 St, Delta,604 591-7277,nil,nil,nil,
Dairy Queen,103-4191 Hastings, Burnaby,604 293-1171,nil,nil,nil,
Diamond Sweets Restaurant,102-15933 Fraser Hwy, Surrey,604 593-5566,nil,nil,nil,
Corduroy Restaurant,1943 Cornwall Ave, Vancouver,604 733-0162,nil,nil,nil,
Dairy Queen,1085 Lougheed Hwy, Coquitlam,604 523-3435,nil,nil,nil,
Cori's Hideaway Bistro,106-9440 202 St, Langley,778 298-0464,nil,nil,nil,
Cork & Fin Restaurant,221 Carrall St, Vancouver,604 569-2215,nil,nil,778 891-0494,
Dairy Queen,554 Clarke, Coquitlam,604 936-5545,nil,nil,nil,
Dairy Queen,1085 Lougheed Hwy, Coquitlam,604 523-3434,nil,nil,nil,
Dairy Queen,8555 120 St, Delta,604 591-3131,nil,nil,nil,
Dasarang Chicken,201-4501 North Rd, Burnaby,604 568-7711,nil,nil,nil,
Dasom Restaurant,A-10320 152 St, Surrey,604 582-1919,nil,nil,nil,
Dinakis Mediterranean Grill,101-2020 Oxford Connector, Port Coquitlam,604 472-3333,nil,nil,nil,
Dinesty Chinese Restaurant,160-8111 Ackroyd, Richmond,604 303-7772,nil,nil,nil,
Dairy Queen,20177 88th Ave, Langley,604 882-3559,nil,nil,nil,
Davie Mongolian BBQ,1161 Davie St, Vancouver,604 568-4505,nil,nil,604 669-4545,
Dairy Queen,20300 Fraser Hwy, Langley,604 534-2321,nil,nil,nil,
Dining Wok Shanghai Restaurant,15246 Russell Ave, White Rock,604 531-6671,nil,nil,nil,
Comer Cafe,1490 Pemberton Ave, North Vancouver,604 980-2510,nil,nil,nil,
Corner Tandoori Restaurant,2066 Commercial Dr, Vancouver,604 215-7556,nil,nil,nil,
Correlis Mediterranean Grill,160-3900 Bayview, Richmond,604 272-7264,nil,nil,nil,
Cosca Restaurant,1118 Denman St, Vancouver,604 683-8485,nil,nil,nil,
Cosmos Greek Restaurant,14871 Marine Dr, White Rock,604 531-3511,nil,nil,nil,
Dairy Queen,20492 Lougheed Hwy, Maple Ridge,604 465-8600,nil,nil,604 463-8158,
Dairy Queen,8-935 Marine Dr, North Vancouver,604 988-2888,nil,nil,nil,
Dairy Queen,1260 Lynn Valley Rd, North Vancouver,604 985-6812,nil,nil,nil,
Dairy Queen,2550 Shaughnessy, Port Coquitlam,604 941-6343,nil,nil,nil,
Dairy Queen,11580 Cambie, Richmond,604 279-9178,nil,nil,nil,
Dawgs & Hawgs,3168 Dollarton Hwy, North Vancouver,604  982-3294,nil,nil,nil,
Days Thai Restaurant,7245 Canada Way, Burnaby,604 520-7383,nil,nil,nil,
DBA Kami SushiRestaurant,40-2215 160 St, Surrey,604 536-5360,nil,nil,nil,
Death By Chocolate,1598 W Broadway, Vancouver,604 730-2462,nil,nil,nil,
Dino's Place,22641 Lougheed Hwy, Maple Ridge,604 467-3418,nil,nil,nil,
The Dish,1068 Davie St, Vancouver,604 689-0208,nil,nil,nil,
Displace Hashery,3293 W 4th Ave, Vancouver,604 736-0212,nil,nil,604 558-4274,
The District,13 Lonsdale Ave, North Vancouver,778 338-4938,nil,nil,nil,
Dairy Queen,180-8151 Anderson, Richmond,604 278-9188,nil,nil,nil,
Dedication Restaurant,6 Powell, Vancouver,604 568-8272,nil,nil,nil,
Divino Restaurant,1590 Commercial Dr, Vancouver,604 258-0005,nil,nil,nil,
Cottage Bistro,4470 Main St, Vancouver,604 876-6138,nil,nil,nil,
Cottage Deli,205-131 Water St, Vancouver,604 688-0844,nil,nil,nil,
Country Meadows Golf Course,8382 No. 6 Rd, Richmond,604 241-4652,nil,nil,nil,
Dairy Queen,1374 Guildford Town Centre, Surrey,604 585-1313,nil,nil,nil,
Dairy Queen,14741 108 Ave, Surrey,604 581-1722,nil,nil,nil,
Dairy Queen,2071 152 St, Surrey,604 536-0064,nil,nil,nil,
DeDutch Pannekoek,600-20395 Lougheed Hwy, Maple Ridge,604 459-1162,nil,nil,nil,
Docker's Diner,1869 Powell St, Vancouver,604 254-3732,nil,nil,nil,
Dockers Family Restaurant,6094 Fraser St, Vancouver,604 327-6713,nil,nil,nil,
Cozmos Cappuccino,6691 Hastings, Burnaby,604 205-5831,nil,nil,nil,
Dairy Queen,9456 King George Blvd, Surrey,604 581-5311,nil,nil,nil,
DeDutch Pannekoek House,4003 Knight, Vancouver,604 876-8221,nil,nil,nil,
DeDutch Pannekoek House,3192 Oak St, Vancouver,604 732-1915,nil,nil,nil,
Docks Fish And Chips,15061 Marine Dr, White Rock,604 536-3625,nil,nil,nil,
Crave India,1019 Granville St, Vancouver,604 569-1850,nil,nil,nil,
Crave Restaurant,3941 Main St, Vancouver,604 872-3663,nil,nil,nil,
Dairy Queen,1-6131 200th St, Langley,604 534-2381,nil,nil,nil,
De Dutch Pannekoek House,806-6339 200th St, Langley,604 533-0110,nil,nil,nil,
De Dutch Pannekoek House,657 W 3rd, North Vancouver,604 988-7658,nil,nil,nil,
Dockside Brewing Co,1253 Johnston St, Vancouver,604 685-7070,nil,nil,nil,
Craving Thai,105-15976 108 Ave, Surrey,604 581-8809,nil,nil,nil,
Dairy Queen,7A-555 W 12th Ave, Vancouver,604 876-5559,nil,nil,nil,
De Dutch Pannekoek House,1634 Capilano Rd, North Vancouver,604 985-0328,nil,nil,nil,
Dog Father Gourmet Hotdogs,20299 56 Ave, Langley,604 510-5582,nil,nil,604 510-5584,
Cravings Restaurant,8804 Osler, Vancouver,604 264-8444,nil,nil,604 261-7779,
Creekside Cafe,1368 United Blvd, Coquitlam,604 540-7629,nil,nil,nil,
Crepe Delicious,1205-2929 Barnet Hwy, Coquitlam,604 554-0212,nil,nil,nil,
Crepeand Cafe,3500 41st Ave W, Vancouver,604 568-3123,nil,nil,nil,
Crepes & Gelato,380 Robson St, Vancouver,604 689-9885,nil,nil,nil,
Dairy Queen,8167 Granville St, Vancouver,604 269-0510,nil,nil,nil,
Dairy Queen,2940 Kingsway, Vancouver,604 437-4021,nil,nil,nil,
Dairy Queen,2844 Main St, Vancouver,604 876-1818,nil,nil,nil,
Dairy Queen,1217 Pacific Blvd, Vancouver,604 684-5548,nil,nil,nil,
Dairy Queen,4990 Victoria Dr, Vancouver,604 321-3855,nil,nil,nil,
Dairy Queen,873A Park Royal N, West Vancouver,604 925-2284,nil,nil,nil,
Dairy Queen,101-1760 Marine, West Vancouver,604 921-6391,nil,nil,nil,
De Dutch Pannekoek House,1634 Capilano Rd, North Vancouver,604 985-0328,nil,nil,nil,
De Dutch Pannekoek House,200-2748 Lougheed Hwy, Port Coquitlam,604 944-3802,nil,nil,nil,
De Dutch Pannekoek House,102-8031 Leslie, Richmond,604 270-3633,nil,nil,nil,
De Dutch Pannekoek House,200-5630 176 St, Surrey,604 576-1831,nil,nil,nil,
De Dutch Pannekoek House,110-7310 120 St, Surrey,604 501-0930,nil,nil,nil,
Domenico's ltal,5623 Hastings, Burnaby,604 291-2262,nil,nil,nil,
Don Cherry's Sports Grill,11598 224 St, Maple Ridge,604 477-1380,nil,604 477-1381,nil,
Don Francesco Ristorante,860 Burrard St, Vancouver,604 685-7770,nil,nil,604 685-4421,
Eataly Food,1127 Mainland St, Vancouver,604 568-5999,nil,nil,nil,
The Eatery,3431 W Broadway, Vancouver,604 738-5298,nil,nil,604 738-5299,
The Everything Cafe,75 Pender St E, Vancouver,604 681-3115,nil,nil,nil,
Excellent Tofu & Snacks,160-4231 Hazelbridge Way, Richmond,604 232-0268,nil,nil,nil,
Excelsior Restaurant,6-6340 No.3 Rd, Richmond,604 278-2616,nil,nil,nil,
The Flying Pig,104-1168 Hamilton St, Vancouver,604 568-1344,nil,nil,nil,
The Flying Tiger,2958 W 4th Ave, Vancouver,604 737-7529,nil,604 737-7549,nil,
Flying Wedge Pizza,198-8120 No. 2 Rd, Richmond,604 274-8080,nil,nil,nil,
Eatwell Vietnam Noodle Soup,315-1196 Lansdowne Dr, Coquitlam,604 945-8276,nil,nil,nil,
Donair Affair,19993 96 Ave, Langley,604 513-3838,nil,nil,nil,
Extreme Pita,39-20821 Fraser Hwy, Langley,604 534-6061,nil,nil,nil,
Flying Wedge Pizza,72-2991 Lougheed Hwy, Coquitlam,604 945-6300,nil,nil,nil,
Ebei Japanese Restaurant,112-5701 Granville St,604 263-2326,nil,604 263-6848,nil,
Donair Affair,105-2540 Mary Hill Rd, Port Coquitlam,604 941-3839,nil,nil,nil,
Extreme Pita,222-1055 W Georgia St, Vancouver,604 687-7482,nil,nil,nil,
Flying Wedge Pizza,810-15355 24 Ave, Surrey,604 538-6888,nil,nil,nil,
Donair Affair,10786 148 St, Surrey,604 584-3839,nil,nil,nil,
EBI-TEN,388 Robson St, Vancouver,604 689-9938,nil,nil,nil,
Donair Affair Restaurant,58-2662 Austin, Coquitlam,604 937-3839,nil,nil,nil,
Donair Delight,2-4429 Kingsway, Burnaby,604 451-0111,nil,nil,nil,
Ebisu In Richmond,100-8111 Ackroyd, Richmond,604 270-4846,nil,nil,nil,
Ebisu On Robson,827 Bute St, Vancouver,604 689-8266,nil,nil,nil,
Extreme Pita,2723-10153 King George Blvd, Surrey,604 583-7482,nil,nil,nil,
Extreme Pita,910-15355 24 Ave, Surrey,604 531-8266,nil,nil,nil,
Fogg's N Suds Restaurant,10720 Cambie Rd, Richmond,604 273-0778,nil,nil,604 273-0776,
Donair Dude,1172 Davie St, Vancouver,604 681-1801,nil,nil,nil,
The Edge Bistro,3135 Edgemont Blvd, North Vancouver,604 985-9125,nil,nil,nil,
Foggy Dew Irish Pub,405 North Rd, Coquitlam,604 937-5808,nil,nil,nil,
Donair Hut,101-550 W Hastings St, Vancouver,604 899-8909,nil,nil,nil,
Edo Japan,746K-4567 Lougheed Hwy, Burnaby,604 291-8226,nil,nil,nil,
Ezogiku Noodle Cafe,270 Robson St, Vancouver,604 685-9466,nil,nil,nil,
The Fairmont Hotel Vancouver,900 W Georgia St, Vancouver,604 684-3131,nil,nil,nil,
Fong's Eatery,12308 Beecher, Surrey,604 535-2978,nil,nil,nil,
Donair Hut,20420 Fraser Hwy, Langley,604 514-8999,nil,nil,nil,
Donair Spot,806 W Broadway, Vancouver,604 872-1847,nil,nil,nil,
Donair Spot,1236 Robson St, Vancouver,604 568-5244,nil,nil,nil,
Foo Sing Lau Seafood Restaurant,210-8080 Leslie, Richmond,604 276-2266,nil,nil,nil,
Edo Japan,1718-6551 No. 3 Rd, Richmond,604 276-9011,nil,nil,nil,
Falafel King Restaurant,1105 Davie St, Vancouver,604 688-5536,nil,nil,nil,
Donair Star,622 12th St, New Westminster,778 397-0446,nil,nil,nil,
Edo-Ya Sushi,1350 56 St, Tsawwassen,604 948-9018,nil,nil,nil,
Falafel King Restaurant,1110 Denman St, Vancouver,604 669-7278,nil,nil,nil,
Falafel Maison,516 Robson St, Vancouver,604 801-6450,nil,nil,nil,
Fork N' Chopstix Chinese & Western Bistro,102-9292 200 St, Langley,604 881-1333,nil,nil,nil,
Fortune City Seafood Restaurant,302-2800 E 1st, Vancouver,604 255-0008,nil,nil,nil,
Donair Town,2822 St. Johns, Port Moody,604 461-5969,nil,nil,nil,
EE Com Fusion Food,1021-88 Pender St W, Vancouver,604 568-6988,nil,nil,nil,
Falafel Plus Catering,446-428 W 8th Ave, Vancouver,604 677-3985,nil,nil,nil,
Fortune Garden Restaurant,1475 W Broadway, Vancouver,604 736-6868,nil,604 736-6861,nil,
Donair Town,2822 St. Johns, Port Moody,604 461-5969,nil,604 461-5971,nil,
Donair Town,1433 Commercial Dr, Vancouver,604 569-0905,nil,nil,nil,
Donair Town,938 12th St, New Westminster,778 397-1710,nil,nil,nil,
Donair Town,811-5728 University Blvd, Vancouver,604 221-7030,nil,nil,nil,
Eezee,104-998 Harbourside, North Vancouver,604 988-0186,nil,nil,nil,
Eh Rertaurant,200-1050 Alberni St, Vancouver,604 568-9915,nil,nil,nil,
Eight & a Half Restaurant & Lounge,151 E 8th Ave, Vancouver,604 568-2703,nil,nil,nil,
88 Juice & More,785 Davie St, Vancouver,604 683-6518,nil,nil,nil,
Famous Sushi,137-123 Carrie Cates Crt, North Vancouver,604 983-2788,nil,nil,nil,
Famous Sushi,6551 No.3 Rd, Richmond,604 233-5578,nil,nil,nil,
Fassil Ethiopian Restaurant,5-736 E Broadway, Vancouver,604 879-2001,nil,nil,nil,
Fortune House Seafood Restaurant,6990 Waltham, Burnaby,604 438-5138,nil,nil,nil,
Donair Town,2652 Shaughnessy St, Port Coquitlam,778 285-3323,nil,nil,nil,
Donair Town,A-1054 Austin, Coquitlam,604 931-3809,nil,nil,nil,
Eighties Restaurant,151 E 8th Ave, Vancouver,604 568-2703,nil,nil,nil,
Fast Food Disco,2689 Main St, Vancouver,604 568-5663,nil,nil,nil,
Fatburger,1101 Denman St, Vancouver,604 689-8858,nil,nil,nil,
Dong Phuong Vietnamese Restaurant,1188 Kingsway, Vancouver,604 873-6666,nil,nil,nil,
Eighties Restaurant,110 14th St W, North Vancouver,604 987-6654,nil,nil,nil,
Fortune House Seafood Restaurant,2199A-4700 Kingsway, Burnaby,604 438-8686,nil,nil,nil,
